01,Autauga County,58805
01,Baldwin County,231767
01,Barbour County,25223
01,Bibb County,22293
01,Blount County,59134
01,Bullock County,10357
01,Butler County,19051
01,Calhoun County,116441
01,Chambers County,34772
01,Cherokee County,24971
01,Chilton County,45014
01,Choctaw County,12665
01,Clarke County,23087
01,Clay County,14236
01,Cleburne County,15056
01,Coffee County,53465
01,Colbert County,57227
01,Conecuh County,11597
01,Coosa County,10387
01,Covington County,37570
01,Crenshaw County,13194
01,Cullman County,87866
01,Dale County,49326
01,Dallas County,38462
01,DeKalb County,71608
01,Elmore County,87977
01,Escambia County,36757
01,Etowah County,103436
01,Fayette County,16321
01,Franklin County,32113
01,Geneva County,26659
01,Greene County,7730
01,Hale County,14785
01,Henry County,17146
01,Houston County,107202
01,Jackson County,52579
01,Jefferson County,674721
01,Lamar County,13972
01,Lauderdale County,93564
01,Lawrence County,33073
01,Lee County,174241
01,Limestone County,103570
01,Lowndes County,10311
01,Macon County,19532
01,Madison County,388153
01,Marengo County,19323
01,Marion County,29341
01,Marshall County,97612
01,Mobile County,414809
01,Monroe County,19772
01,Montgomery County,228954
01,Morgan County,123421
01,Perry County,8511
01,Pickens County,19123
01,Pike County,33009
01,Randolph County,21967
01,Russell County,59183
01,St. Clair County,91103
01,Shelby County,223024
01,Sumter County,12345
01,Talladega County,82149
01,Tallapoosa County,41311
01,Tuscaloosa County,227036
01,Walker County,65342
01,Washington County,15388
01,Wilcox County,10600
01,Winston County,23540
02,Aleutians East Borough,3420
02,Aleutians West Census Area,5232
02,Anchorage Municipality,291247
02,Bethel Census Area,18666
02,Bristol Bay Borough,844
02,Chugach Census Area,7102
02,Copper River Census Area,2617
02,Denali Borough,1619
02,Dillingham Census Area,4857
02,Fairbanks North Star Borough,95655
02,Haines Borough,2080
02,Hoonah-Angoon Census Area,2365
02,Juneau City and Borough,32255
02,Kenai Peninsula Borough,58799
02,Ketchikan Gateway Borough,13948
02,Kodiak Island Borough,13101
02,Kusilvak Census Area,8368
02,Lake and Peninsula Borough,1476
02,Matanuska-Susitna Borough,107081
02,Nome Census Area,10046
02,North Slope Borough,11031
02,Northwest Arctic Borough,7793
02,Petersburg Borough,3398
02,Prince of Wales-Hyder Census Area,5753
02,Sitka City and Borough,8458
02,Skagway Municipality,1240
02,Southeast Fairbanks Census Area,6808
02,Wrangell City and Borough,2127
02,Yakutat City and Borough,662
02,Yukon-Koyukuk Census Area,5343
04,Apache County,66021
04,Cochise County,125447
04,Coconino County,145101
04,Gila County,53272
04,Graham County,38533
04,Greenlee County,9563
04,La Paz County,16557
04,Maricopa County,4420568
04,Mohave County,213267
04,Navajo County,106717
04,Pima County,1043433
04,Pinal County,425264
04,Santa Cruz County,47669
04,Yavapai County,236209
04,Yuma County,203881
05,Arkansas County,17149
05,Ashley County,19062
05,Baxter County,41627
05,Benton County,284333
05,Boone County,37373
05,Bradley County,10545
05,Calhoun County,4739
05,Carroll County,28260
05,Chicot County,10208
05,Clark County,21446
05,Clay County,14552
05,Cleburne County,24711
05,Cleveland County,7550
05,Columbia County,22801
05,Conway County,20715
05,Craighead County,111231
05,Crawford County,60133
05,Crittenden County,48163
05,Cross County,16833
05,Dallas County,6482
05,Desha County,11395
05,Drew County,17350
05,Faulkner County,123498
05,Franklin County,17097
05,Fulton County,12075
05,Garland County,100180
05,Grant County,17958
05,Greene County,45736
05,Hempstead County,20065
05,Hot Spring County,33040
05,Howard County,12785
05,Independence County,37938
05,Izard County,13577
05,Jackson County,16755
05,Jefferson County,67260
05,Johnson County,25749
05,Lafayette County,6308
05,Lawrence County,16216
05,Lee County,8600
05,Lincoln County,12941
05,Little River County,12026
05,Logan County,21131
05,Lonoke County,74015
05,Madison County,16521
05,Marion County,16826
05,Miller County,42600
05,Mississippi County,40685
05,Monroe County,6799
05,Montgomery County,8484
05,Nevada County,8310
05,Newton County,7225
05,Ouachita County,22650
05,Perry County,10019
05,Phillips County,16568
05,Pike County,10171
05,Poinsett County,22965
05,Polk County,19221
05,Pope County,63381
05,Prairie County,8282
05,Pulaski County,399125
05,Randolph County,18571
05,St. Francis County,23090
05,Saline County,123416
05,Scott County,9836
05,Searcy County,7828
05,Sebastian County,127799
05,Sevier County,15839
05,Sharp County,17271
05,Stone County,12359
05,Union County,39054
05,Van Buren County,15796
05,Washington County,245871
05,White County,76822
05,Woodruff County,6269
05,Yell County,20263
06,Alameda County,1682353
06,Alpine County,1204
06,Amador County,40474
06,Butte County,211632
06,Calaveras County,45292
06,Colusa County,21839
06,Contra Costa County,1165927
06,Del Norte County,27743
06,El Dorado County,191185
06,Fresno County,1008654
06,Glenn County,28917
06,Humboldt County,136463
06,Imperial County,179702
06,Inyo County,19016
06,Kern County,909235
06,Kings County,152486
06,Lake County,68163
06,Lassen County,32730
06,Los Angeles County,10014009
06,Madera County,156255
06,Marin County,262321
06,Mariposa County,17131
06,Mendocino County,91601
06,Merced County,281202
06,Modoc County,8700
06,Mono County,13195
06,Monterey County,439035
06,Napa County,138019
06,Nevada County,102241
06,Orange County,3186989
06,Placer County,404739
06,Plumas County,19790
06,Riverside County,2418185
06,Sacramento County,1585055
06,San Benito County,64209
06,San Bernardino County,2181654
06,San Diego County,3298634
06,San Francisco County,873965
06,San Joaquin County,779233
06,San Luis Obispo County,282424
06,San Mateo County,764442
06,Santa Barbara County,448229
06,Santa Clara County,1936259
06,Santa Cruz County,270861
06,Shasta County,182155
06,Sierra County,3236
06,Siskiyou County,44076
06,Solano County,453491
06,Sonoma County,488863
06,Stanislaus County,552878
06,Sutter County,99633
06,Tehama County,65829
06,Trinity County,16112
06,Tulare County,473117
06,Tuolumne County,55620
06,Ventura County,843843
06,Yolo County,216403
06,Yuba County,81575
08,Adams County,519572
08,Alamosa County,16376
08,Arapahoe County,655070
08,Archuleta County,13359
08,Baca County,3506
08,Bent County,5650
08,Boulder County,330758
08,Broomfield County,74112
08,Chaffee County,19476
08,Cheyenne County,1748
08,Clear Creek County,9397
08,Conejos County,7461
08,Costilla County,3499
08,Crowley County,5922
08,Custer County,4704
08,Delta County,31196
08,Denver County,715522
08,Dolores County,2326
08,Douglas County,357978
08,Eagle County,55731
08,Elbert County,26062
08,El Paso County,730395
08,Fremont County,48939
08,Garfield County,61685
08,Gilpin County,5808
08,Grand County,15717
08,Gunnison County,16918
08,Hinsdale County,788
08,Huerfano County,6820
